순위,단어,품사,초성
1164,그,감,ㄱ
330,그래,감,ㄱㄹ
2736,그럼,감,ㄱㄹ
3393,그렇지,감,ㄱㄹㅈ
1972,글쎄,감,ㄱㅆ
4119,글쎄요,감,ㄱㅆㅇ
357,네,감,ㄴ
339,뭐,감,ㅁ
9136,뭘,감,ㅁ
7811,세상에,감,ㅅㅅㅇ
297,아,감,ㅇ
3538,아냐,감,ㅇㄴ
7058,아뇨,감,ㅇㄴ
765,아니,감,ㅇㄴ
4918,아니야,감,ㅇㄴㅇ
2447,아니요,감,ㅇㄴㅇ
4139,아아,감,ㅇㅇ
3010,아유,감,ㅇㅇ
3485,아이,감,ㅇㅇ
2043,아이고,감,ㅇㅇㄱ
7061,아하,감,ㅇㅎ
7294,안녕,감,ㅇㄴ
821,야,감,ㅇ
4361,얘,감,ㅇ
446,어,감,ㅇ
1846,어디,감,ㅇㄷ
3080,어머,감,ㅇㅁ
3423,에,감,ㅇ
2904,여보,감,ㅇㅂ
3081,여보세요,감,ㅇㅂㅅㅇ
605,예,감,ㅇ
5386,오,감,ㅇ
5252,와,감,ㅇ
6851,원,감,ㅇ
5045,으응,감,ㅇㅇ
1487,음,감,ㅇ
1110,응,감,ㅇ
1277,자,감,ㅈ
1833,저,감,ㅈ
7355,저기,감,ㅈㄱ
9325,저런,감,ㅈㄹ
5275,정말,감,ㅈㅁ
8212,좋아,감,ㅈㅇ
1800,참,감,ㅊ
